Timestamp,DomainName,ClientIP,EventType,UpstreamServer,Response
Oct 28 18:08:04,wpad,10.0.0.1,query[A],,
Oct 28 18:08:04,wpad,,HIT (config),,127.0.0.1
Oct 28 18:08:04,wpad,10.0.0.1,query[A],,
Oct 28 18:08:04,wpad,,HIT (config),,127.0.0.1
Oct 28 18:08:04,wpad,10.0.0.1,query[A],,
Oct 28 18:08:04,wpad,,HIT (config),,127.0.0.1
Oct 28 18:08:04,wpad,10.0.0.1,query[A],,
Oct 28 18:08:04,wpad,,HIT (config),,127.0.0.1
Oct 28 18:08:04,tuhafhaberler.com,10.0.0.1,query[A],,
Oct 28 18:08:04,tuhafhaberler.com,,HIT (config),,127.0.0.1
Oct 28 18:08:04,rtsab.com,10.0.0.1,query[A],,
Oct 28 18:08:04,rtsab.com,,HIT (config),,127.0.0.1
Oct 28 18:08:04,i-butterfly.ru,10.0.0.1,query[A],,
Oct 28 18:08:04,i-butterfly.ru,,HIT (config),,127.0.0.1
Oct 28 18:08:04,datepanchang.com,10.0.0.1,query[A],,
Oct 28 18:08:04,datepanchang.com,,HIT (config),,127.0.0.1
Oct 28 18:08:04,localhost.re,10.0.0.1,query[A],,
Oct 28 18:08:04,localhost.re,,HIT (config),,127.0.0.1
Oct 28 18:08:04,daehepharma.com,10.0.0.1,query[A],,
Oct 28 18:08:04,daehepharma.com,,HIT (config),,127.0.0.1
Oct 28 18:08:04,ex-jw.org,10.0.0.1,query[A],,
Oct 28 18:08:04,ex-jw.org,,HIT (config),,127.0.0.1
Oct 28 18:08:04,us.tf,10.0.0.1,query[A],,
Oct 28 18:08:04,us.tf,,HIT (config),,127.0.0.1
Oct 28 18:08:04,informarexresistere.fr,10.0.0.1,query[A],,
Oct 28 18:08:04,informarexresistere.fr,,HIT (config),,127.0.0.1
Oct 28 18:08:05,running-sigi.de,10.0.0.1,query[A],,
Oct 28 18:08:05,running-sigi.de,,HIT (config),,127.0.0.1
Oct 28 18:08:05,wpad,10.0.0.1,query[A],,
Oct 28 18:08:05,wpad,,HIT (config),,127.0.0.1
Oct 28 18:08:05,wpad,10.0.0.1,query[A],,
Oct 28 18:08:05,wpad,,HIT (config),,127.0.0.1
Oct 28 18:08:05,wpad,10.0.0.1,query[A],,
Oct 28 18:08:05,wpad,,HIT (config),,127.0.0.1
Oct 28 18:08:05,wpad,10.0.0.1,query[A],,
Oct 28 18:08:05,wpad,,HIT (config),,127.0.0.1
Oct 28 18:08:05,buynowfromusa.com,10.0.0.1,query[A],,
