{'timestamp': '2025-10-29T03:37:17.417289', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '198.41.0.4', 'step': 'TLD', 'response': 'REFERRAL', 'rtt': 152.42385864257812, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:17.417289', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '192.41.162.30', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 178.6637306213379, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:17.417289', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '216.239.34.10', 'step': 'Authoritative', 'response': 'RESPONSE: A=142.250.71.99', 'rtt': 28.414249420166016, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:17.417289', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '216.239.34.10', 'step': 'FINAL', 'response': 'RESPONSE: A=142.250.71.99', 'rtt': 28.414249420166016, 'total_time': 364.321231842041, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:17.782007', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '198.41.0.4', 'step': 'TLD', 'response': 'REFERRAL', 'rtt': 163.88463973999023, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:17.782007', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '192.41.162.30', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 151.27992630004883, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:17.782007', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '216.239.34.10', 'step': 'Authoritative', 'response': 'RESPONSE: A=142.250.71.99', 'rtt': 28.631210327148438, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:17.782007', 'domain': 'ssl.gstatic.com.', 'resolution_mode': 'iterative', 'server_ip': '216.239.34.10', 'step': 'FINAL', 'response': 'RESPONSE: A=142.250.71.99', 'rtt': 28.631210327148438, 'total_time': 346.590518951416, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:18.128924', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '198.41.0.4', 'step': 'TLD', 'response': 'REFERRAL', 'rtt': 163.5887622833252, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:18.128924', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '192.55.83.30', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 165.5890941619873, 'total_time': 0.0, 'cache_status': 'MISS'}
{'timestamp': '2025-10-29T03:37:18.128924', 'domain': 'statics.teams.cdn.office.net.', 'resolution_mode': 'iterative', 'server_ip': '150.171.16.39', 'step': 'Authoritative', 'response': 'REFERRAL', 'rtt': 43.97702217102051, 'total_time': 0.0, 'cache_status': 'MISS'}
